Timestamp,Which Prototype are you evaluating?,What was your time to complete task 1 (in seconds)?,What was your time to complete task 2 (in seconds)?,What was your time to complete task 3 (in seconds)?,Which of the following words would describe your experience with this prototype?,"Overall, I thought this design was effective.","Overall, I thought this design was useful.","Overall, I thought this design was fun."
4/18/2021 16:10:28,Prototype B (Circles),13,162,11,"Fun, Confusing",3,3,4
4/18/2021 16:11:51,Prototype B (Circles),7,125.2,7.5,"Boring, Frustrating, Fine, Confusing, Tiring, Stupid",1,1,1
4/18/2021 16:13:34,Prototype A (Boxes),4,85,12,Fine,3,3,4
4/18/2021 16:33:17,Prototype A (Boxes),7.23,19.46,11.86,Fine,3,3,4
4/18/2021 16:36:21,Prototype B (Circles),8.66,80.67,9.08,Fine,1,1,1
4/18/2021 16:39:14,Prototype A (Boxes),19,15,60,"Boring, Confusing",4,4,3
4/18/2021 16:40:24,Prototype B (Circles),9,4,10,"Confusing, Tiring",2,2,5
4/18/2021 16:56:30,Prototype A (Boxes),5,371,16,"Frustrating, Confusing",2,4,4
4/18/2021 16:57:10,Prototype A (Boxes),10.9,80,15,Fine,3,3,1
4/18/2021 16:58:26,Prototype B (Circles),7,363,13,"Boring, Frustrating, Confusing",1,2,2
4/18/2021 16:58:55,Prototype B (Circles),10,127,7,"Frustrating, Confusing",1,1,1
4/18/2021 17:34:21,Prototype B (Circles),7,600,9,Fine,5,5,4
4/18/2021 17:37:13,Prototype A (Boxes),8,600,8,"Boring, Fine",6,6,3
4/18/2021 17:50:01,Prototype B (Circles),9,130,10,Fine,4,5,5
4/18/2021 17:52:19,Prototype A (Boxes),5,128,8,Excellent,6,6,5
4/18/2021 17:57:48,Prototype A (Boxes),4.5,127,15,"Fun, Exciting, Fine",5,4,5
4/18/2021 17:58:45,Prototype A (Boxes),4.28,128.23,15.47,"Fun, Fine",5,5,4
4/18/2021 18:18:42,Prototype A (Boxes),30,600,60,"Fun, Exciting",6,6,5
4/18/2021 18:20:37,Prototype B (Circles),10,600,15,"Frustrating, Confusing",3,2,3
4/18/2021 19:08:57,Prototype B (Circles),6,210,12,"Confusing, Tiring",3,5,3
4/18/2021 19:15:04,Prototype B (Circles),20,20,300,"Frustrating, Confusing",2,3,5
4/18/2021 19:15:32,Prototype A (Boxes),20,20,20,"Fun, Exciting",6,5,5
4/18/2021 19:31:00,Prototype B (Circles),13,600,10,Confusing,3,4,5
4/18/2021 19:46:28,Prototype A (Boxes),6,125,9,Fine,5,4,5
4/18/2021 19:48:59,Prototype A (Boxes),10,83,153,Fine,4,4,1
4/18/2021 19:50:14,Prototype B (Circles),6,7,130,"Frustrating, Confusing, Tiring",1,1,1
4/18/2021 20:07:52,Prototype A (Boxes),21,126,7,"Fine, Confusing",3,5,6
4/18/2021 20:10:17,Prototype B (Circles),6,130,6,"Confusing, Tiring",3,2,4
